PlayerName,Team,TOI,G,A,FirstA,Points,Shots,iFenwick,iCorsi,ShPct,G60,A60,FirstA60,Points60,Shots60,iFenwick60,iCorsi60,IGP,IAP,IPP,Year,Position,Situation
"HEMSKY, ALES",Edmonton,990:06:00,10,27,22,37,124,178,239,8.06,0.606,1.636,1.333,2.24,7.51,10.787,14.483,23.8,64.3,88.1,2007,Forward,5v5
"TOEWS, JONATHAN",Chicago,803:07:00,16,14,6,30,95,110,132,16.84,1.195,1.046,0.448,2.24,7.1,8.218,9.862,33.3,29.2,62.5,2007,Forward,5v5
"BOLLAND, DAVE",Chicago,402:16:00,4,11,8,15,44,55,63,9.09,0.597,1.641,1.193,2.24,6.56,8.204,9.397,19,52.4,71.4,2007,Forward,5v5
"DEMITRA, PAVOL",Minnesota,870:21:00,13,19,13,32,81,119,151,16.05,0.896,1.31,0.896,2.21,5.58,8.204,10.41,29.5,43.2,72.7,2007,Forward,5v5
"HECHT, JOCHEN",Buffalo,1034:03:00,16,22,11,38,167,231,278,9.58,0.928,1.276,0.638,2.2,9.69,13.404,16.131,34,46.8,80.9,2007,Forward,5v5
"PERRY, COREY",Anaheim,937:57:00,16,18,13,34,132,192,219,12.12,1.024,1.151,0.832,2.17,8.44,12.282,14.009,34,38.3,72.3,2007,Forward,5v5
"ANTROPOV, NIK",Toronto,939:01:00,13,21,15,34,102,158,196,12.75,0.831,1.342,0.958,2.17,6.52,10.096,12.524,27.1,43.8,70.8,2007,Forward,5v5
"ERAT, MARTIN",Nashville,996:32:00,16,20,12,36,117,154,186,13.68,0.963,1.204,0.723,2.17,7.04,9.272,11.199,36.4,45.5,81.8,2007,Forward,5v5
"KOZLOV, VIKTOR",Washington,1110:38:00,13,27,20,40,166,219,261,7.83,0.702,1.459,1.081,2.16,8.97,11.831,14.1,20,41.5,61.5,2007,Forward,5v5
"SAVARD, MARC",Boston,1056:26:00,9,29,19,38,137,175,235,6.57,0.511,1.647,1.079,2.16,7.78,9.939,13.347,20.5,65.9,86.4,2007,Forward,5v5
"MORROW, BRENDEN",Dallas,1112:12:00,16,24,16,40,123,171,229,13.01,0.863,1.295,0.863,2.16,6.64,9.225,12.354,26.7,40,66.7,2007,Forward,5v5
"TANGUAY, ALEX",Calgary,1029:16:00,12,25,17,37,94,126,152,12.77,0.7,1.457,0.991,2.16,5.48,7.345,8.861,22.2,46.3,68.5,2007,Forward,5v5
"KARIYA, PAUL",St. Louis,1090:40:00,8,31,19,39,175,226,269,4.57,0.44,1.705,1.045,2.15,9.63,12.433,14.798,15.7,60.8,76.5,2007,Forward,5v5
"KOSTITSYN, ANDREI",Montreal,925:23:00,14,19,11,33,109,159,202,12.84,0.908,1.232,0.713,2.14,7.07,10.309,13.097,29.8,40.4,70.2,2007,Forward,5v5
"DAWES, NIGEL",NY Rangers,673:40:00,11,13,10,24,93,126,154,11.83,0.98,1.158,0.891,2.14,8.28,11.222,13.716,34.4,40.6,75,2007,Forward,5v5
"DOWNIE, STEVE",Philadelphia,309:03:00,5,6,4,11,24,29,37,20.83,0.971,1.165,0.777,2.14,4.66,5.63,7.183,35.7,42.9,78.6,2007,Forward,5v5
"AVERY, SEAN",NY Rangers,733:58:00,12,14,11,26,103,155,199,11.65,0.981,1.145,0.899,2.13,8.42,12.671,16.268,33.3,38.9,72.2,2007,Forward,5v5
"RICHARDS, MIKE",Philadelphia,876:04:00,13,18,10,31,116,156,204,11.21,0.89,1.233,0.685,2.12,7.94,10.684,13.972,31.7,43.9,75.6,2007,Forward,5v5
"LADD, ANDREW",Chicago,679:13:00,13,11,5,24,112,142,170,11.61,1.148,0.972,0.442,2.12,9.89,12.544,15.017,38.2,32.4,70.6,2007,Forward,5v5
"CLEARY, DAN",Detroit,743:00:00,15,11,5,26,123,165,195,12.2,1.211,0.888,0.404,2.1,9.93,13.324,15.747,38.5,28.2,66.7,2007,Forward,5v5
"PAILLE, DANIEL",Buffalo,857:33:00,14,16,11,30,93,124,152,15.05,0.98,1.119,0.77,2.1,6.51,8.676,10.635,38.9,44.4,83.3,2007,Forward,5v5
"TKACHUK, KEITH",St. Louis,946:25:00,13,20,12,33,116,169,203,11.21,0.824,1.268,0.761,2.09,7.35,10.714,12.87,28.9,44.4,73.3,2007,Forward,5v5
"STAAL, ERIC",Carolina,1176:39:00,21,20,12,41,197,264,337,10.66,1.071,1.02,0.612,2.09,10.05,13.462,17.184,35,33.3,68.3,2007,Forward,5v5
"GETZLAF, RYAN",Anaheim,1033:41:00,15,21,9,36,108,147,179,13.89,0.871,1.219,0.522,2.09,6.27,8.533,10.39,27.3,38.2,65.5,2007,Forward,5v5
"BRIND_AMOUR, ROD",Carolina,862:23:00,12,18,11,30,95,116,141,12.63,0.835,1.252,0.765,2.09,6.61,8.071,9.81,32.4,48.6,81.1,2007,Forward,5v5
"KOIVU, MIKKO",Minnesota,777:05:00,9,18,8,27,94,117,151,9.57,0.695,1.39,0.618,2.08,7.26,9.034,11.659,27.3,54.5,81.8,2007,Forward,5v5
"STRAKA, MARTIN",NY Rangers,839:59:00,10,19,11,29,75,102,126,13.33,0.714,1.357,0.786,2.07,5.36,7.286,9,26.3,50,76.3,2007,Forward,5v5
"KONTIOLA, PETRI",Chicago,145:11:00,0,5,1,5,11,13,14,0,0,2.066,0.413,2.07,4.55,5.372,5.786,0,83.3,83.3,2007,Forward,5v5
"VERMETTE, ANTOINE",Ottawa,960:53:00,15,18,11,33,123,165,196,12.2,0.937,1.124,0.687,2.06,7.68,10.303,12.239,35.7,42.9,78.6,2007,Forward,5v5
